settlement_norm,total_workers
cegledbercel,1052
celldomolk,3788
cered,23
cibakhaza,489
cigand,328
ciko,28
cirak,42
csabacsud,117
csabaszabadi,12
csabdi,77
csabrendek,423
csaholc,7
csajag,37
csakanydoroszlo,160
csakbereny,78
csakvar,1509
csanadapaca,300
csanadpalota,251
csanig,7
csany,169
csanyoszro,16
csanytelek,359
csapi,6
csapod,18
csardaszallas,12
csaroda,30
csaszar,126
csaszartoltes,272
csatalja,50
csatar,6
csataszog,7
csatka,5
csavoly,113
csecse,5
csegold,14
csehbanya,206
csem,6
csemo,1088
csempeszkopacs,9
csengele,307
csenger,1429
csengersima,29
csengerujfalu,35
csengod,218
csenye,17
csepa,92
csepreg,515
cserepfalu,60
cserepvaralja,11
cserhathalap,6
cserhatsurany,30
cserkeszolo,417
cserkut,56
cserszegtomaj,915
csesznek,16
csesztreg,11
cseteny,170
csevharaszt,166
csikeria,11
csikostottos,16
csikvand,7
csipkerek,21
csitar,5
csobaj,15
csobanka,903
csogle,15
csokako,158
csokmo,146
csokoly,15
csokonyavisonta,173
csolnok,478
csolyospalos,277
csoma,6
csomad,10697
csomoder,5
csomor,4829
csonge,5
csongrad,7521
csonkahegyhat,13
csopak,525
csor,223
csorna,3853
csornyefold,6
csorog,164
csorotnek,8
csorvas,1135
csosz,43
csot,46
csovar,35
csurgo,1102
csurgonagymarton,5
dabas,9359
dabronc,6
dabrony,7
dad,90
dag,31
daka,6
dalmand,44
damak,8
danszentmiklos,313
dany,1260
daraboshegy,5
darany,18
darnozseli,78
daruszentmiklos,17
darvas,8
davod,101
debrecen,136357
decs,603
dedestapolcsany,40
deg,107
dejtar,43
delegyhaza,1818
demecser,913
demjen,55
dencshaza,7
denesfa,9
derecske,3225
derekegyhaz,91
deszk,1234
detek,5
detk,26
devavanya,2044
devecser,1036
diosbereny,7
diosd,6005
diosjeno,433
dioskal,16
diosviszlo,38
doba,10
doboz,929
dobrokoz,118
dobronte,12
doc,30
doge,131
domahaza,13
domaszek,1612
dombegyhaz,95
dombiratos,27
dombovar,8290
dombrad,595
domony,319
domos,101
domoszlo,125
domsod,1945
dor,17
dorgicse,23
dormand,47
dorog,4579
doroghaza,20
dravafok,7
dravaszabolcs,14
dravaszerdahely,5
dravasztara,8
dregelypalank,40
dudar,106
duka,16
dunaalmas,181
dunabogdany,773
dunaegyhaza,89
dunafalva,30
dunafoldvar,3211
dunaharaszti,18196
dunakeszi,30636
dunakiliti,197
dunapataj,456
dunaszeg,465
dunaszekcso,84
dunaszentbenedek,24
dunaszentgyorgy,220
dunaszentmiklos,45
dunaszentpal,58
dunasziget,210
dunatetetlen,22
dunaujvaros,26065
dunavarsany,3625
dunavecse,920
dusnok,427
ebes,1314
ecs,413
ecsed,403
ecseg,20
ecsegfalva,40
ecser,1208
edeleny,3094
eger,37424
egerag,50
egeralja,5
egeraracsa,11
egerbakta,55
egercsehi,8
egerfarmos,18
egerlovo,8
egerszalok,327
egerszolat,48
egervar,84
egervolgy,5
egyed,45
egyek,1166
egyhazasdengeleg,306
egyhazasfalu,21
egyhazashetye,7
egyhazashollos,23
egyhazaskeszo,7
egyhazaskozar,26
egyhazasradoc,62
elek,1084
ellend,5
eloszallas,229
emod,1127
encs,1779
encsencs,141
endrefalva,25
endroc,7
enese,127
enying,2096
eperjes,17
eperjeske,17
epleny,32
epol,6
ercsi,2708
erd,43489
erdobenye,84
erdokertes,3688
erdokovesd,10
erdokurt,15
erdosmecske,8
erdotarcsa,8
erdotelek,412
erk,6
erpatak,129
ersekcsanad,452
ersekhalma,29
ersekvadkert,607
erteny,7
erzsebet,12
esztar,52
eszteregnye,7
esztergalyhorvati,10
esztergom,20721
ete,22
etes,27
etyek,1453
fabianhaza,93
fabiansebestyen,169
facankert,22
fadd,928
fajsz,136
fancsal,7
farad,194
farkasgyepu,8
farkaslyuk,49
farmos,543
fedemes,5
fegyvernek,1518
fehergyarmat,2706
feherto,25
fehervarcsurgo,269
feked,5
feketeerdo,21
felcsut,241
feldebro,30
felgyo,102
felpec,66
felsocsatar,10
felsojanosfa,5
felsolajos,63
felsomarac,7
felsomocsolad,7
felsonana,8
felsonyarad,30
felsonyek,47
felsoors,462
felsopahok,31
felsopakony,864
felsopeteny,6
felsorajk,16
felsoszenterzsebet,6
felsoszentivan,135
felsoszentmarton,13
felsotarkany,757
felsozsolca,2132
fenyeslitke,203
ferencszallas,19
fertod,654
fertoendred,25
fertohomok,77
fertorakos,315
fertoszentmiklos,1127
fertoszeplak,75
fokto,76
foldeak,398
