gender|age_group|education|teaor_name|county|count|teaor_code
Férfi|15–19 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Oktatás|Budapest|1|P
Férfi|15–19 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Humán-egészségügyi, szociális ellátás|Budapest|5|Q
Férfi|15–19 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Művészet, szórakoztatás, szabad idő|Budapest|2|R
Férfi|15–19 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Egyéb szolgáltatás|Budapest|8|S
Férfi|15–19 éves|Érettségi|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|8|A
Férfi|15–19 éves|Érettségi|Bányászat, kőfejtés|Budapest|1|B
Férfi|15–19 éves|Érettségi|Feldolgozóipar|Budapest|87|C
Férfi|15–19 éves|Érettségi|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|3|D
Férfi|15–19 éves|Érettségi|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|3|E
Férfi|15–19 éves|Érettségi|Építőipar|Budapest|60|F
Férfi|15–19 éves|Érettségi|Kereskedelem, gépjárműjavítás|Budapest|236|G
Férfi|15–19 éves|Érettségi|Szállítás, raktározás|Budapest|117|H
Férfi|15–19 éves|Érettségi|Szálláshely-szolgáltatás, vendéglátás|Budapest|231|I
Férfi|15–19 éves|Érettségi|Információ, kommunikáció|Budapest|76|J
Férfi|15–19 éves|Érettségi|Pénzügyi, biztosítási tevékenység|Budapest|27|K
Férfi|15–19 éves|Érettségi|Ingatlanügyletek|Budapest|10|L
Férfi|15–19 éves|Érettségi|Szakmai, tudományos, műszaki tevékenység|Budapest|47|M
Férfi|15–19 éves|Érettségi|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|145|N
Férfi|15–19 éves|Érettségi|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|133|O
Férfi|15–19 éves|Érettségi|Oktatás|Budapest|43|P
Férfi|15–19 éves|Érettségi|Humán-egészségügyi, szociális ellátás|Budapest|22|Q
Férfi|15–19 éves|Érettségi|Művészet, szórakoztatás, szabad idő|Budapest|88|R
Férfi|15–19 éves|Érettségi|Egyéb szolgáltatás|Budapest|35|S
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|2|A
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Bányászat, kőfejtés|Budapest|1|B
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Feldolgozóipar|Budapest|7|C
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Építőipar|Budapest|28|F
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Kereskedelem, gépjárműjavítás|Budapest|30|G
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szállítás, raktározás|Budapest|6|H
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szálláshely-szolgáltatás, vendéglátás|Budapest|13|I
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Információ, kommunikáció|Budapest|6|J
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Ingatlanügyletek|Budapest|2|L
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szakmai, tudományos, műszaki tevékenység|Budapest|2|M
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|16|N
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|4|O
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Művészet, szórakoztatás, szabad idő|Budapest|2|R
Férfi|20–24 éves|Általános iskola 8. évfolyamnál alacsonyabb|Egyéb szolgáltatás|Budapest|2|S
Férfi|20–24 éves|Általános iskola 8. évfolyam|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|21|A
Férfi|20–24 éves|Általános iskola 8. évfolyam|Feldolgozóipar|Budapest|243|C
Férfi|20–24 éves|Általános iskola 8. évfolyam|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|16|D
Férfi|20–24 éves|Általános iskola 8. évfolyam|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|19|E
Férfi|20–24 éves|Általános iskola 8. évfolyam|Építőipar|Budapest|433|F
Férfi|20–24 éves|Általános iskola 8. évfolyam|Kereskedelem, gépjárműjavítás|Budapest|541|G
Férfi|20–24 éves|Általános iskola 8. évfolyam|Szállítás, raktározás|Budapest|359|H
Férfi|20–24 éves|Általános iskola 8. évfolyam|Szálláshely-szolgáltatás, vendéglátás|Budapest|411|I
Férfi|20–24 éves|Általános iskola 8. évfolyam|Információ, kommunikáció|Budapest|48|J
Férfi|20–24 éves|Általános iskola 8. évfolyam|Pénzügyi, biztosítási tevékenység|Budapest|10|K
Férfi|20–24 éves|Általános iskola 8. évfolyam|Ingatlanügyletek|Budapest|24|L
Férfi|20–24 éves|Általános iskola 8. évfolyam|Szakmai, tudományos, műszaki tevékenység|Budapest|54|M
Férfi|20–24 éves|Általános iskola 8. évfolyam|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|314|N
Férfi|20–24 éves|Általános iskola 8. évfolyam|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|66|O
Férfi|20–24 éves|Általános iskola 8. évfolyam|Oktatás|Budapest|30|P
Férfi|20–24 éves|Általános iskola 8. évfolyam|Humán-egészségügyi, szociális ellátás|Budapest|57|Q
Férfi|20–24 éves|Általános iskola 8. évfolyam|Művészet, szórakoztatás, szabad idő|Budapest|69|R
Férfi|20–24 éves|Általános iskola 8. évfolyam|Egyéb szolgáltatás|Budapest|34|S
Férfi|20–24 éves|Általános iskola 8. évfolyam|Háztartás munkaadói tevékenysége; termék előállítása, szolgáltatás végzése saját fogyasztásra|Budapest|1|T
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|14|A
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Feldolgozóipar|Budapest|219|C
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|18|D
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|9|E
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Építőipar|Budapest|311|F
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Kereskedelem, gépjárműjavítás|Budapest|330|G
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Szállítás, raktározás|Budapest|207|H
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Szálláshely-szolgáltatás, vendéglátás|Budapest|281|I
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Információ, kommunikáció|Budapest|29|J
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Pénzügyi, biztosítási tevékenység|Budapest|7|K
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Ingatlanügyletek|Budapest|15|L
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Szakmai, tudományos, műszaki tevékenység|Budapest|40|M
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|191|N
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|32|O
Férfi|20–24 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Oktatás|Budapest|11|P
